name,namesOfPeople,language,similarTerms,malayStreetNames
Abdul Aleem Siddique,name,,,Lorang K Telok Kurau
Abdul Gafoor,name,,,
Abdul Hamid Kampung Pasiran,name,,kampong,
Ahmad,name,,,Lorong Sarhad
Ahmad Ibrahim,name,,,Jalan Ulu Seletar
Al-Abdul Razak,name,,,Jalan Ismail 
Al-Abrar,,arabic,,
Al-Amin,,arabic,,
Al-Ansar,,arabic,,
Al-Falah,,arabic,,
Al-Firdaus,,arabic,,Jalan Ibadat
Al-Huda,,arabic,,Jalan Haji Alias
Al-Iman,,arabic,,
Al-Islah,,arabic,,
Al-Istighfar,,arabic,,
Al-Istiqamah,,arabic,,
Alkaff Kampung Melayu,name,,kampong,
Alkaff Upper Serangoon,name,,,
Al-Khair,,arabic,,
Al-Mawaddah,,arabic,,
Al-Mukminin,,arabic,,
Al-Muttaqin,,arabic,,
Al-Taqua,,arabic,,Jalan Bilal
Angullia,name,,,
An-Nahdhah,,arabic,,
An-Nur,,arabic,,
Ar-Raudhah,,arabic,,
Assyafaah,,arabic,,
Assyakirin,,arabic,,
Ba'alwie,name,,,
Bencoolen,,english,,
Burhani,,arabic,,
Darul Aman,,arabic,darul,
Darul Ghufran,,arabic,darul,
Darul Makmur,,arabic,darul,
Darussalam,,arabic,darul,
En-Naeem,,arabic,,
Haji Mohd Salleh (Geylang),name,,,
Haji Muhammad Salleh (Palmer Road),name,,,
Haji Yusoff,name,,,
Hajjah Fatimah,name-female,,,
Hajjah Rahimabi Kebun Limau,name-female,,,
Hang Jebat,,malay,,Jalan Hang Jebat
Hasanah,,arabic,,
Hussein Sulaiman,name,,,
Jamae Chulia,,,jamek,
Jamek Queenstown,,,jamek,
Jamiyah Ar-Rabitah,,,jamek,
Kampong Delta,,malay,kampong,
Kampung Siglap,,malay,kampong,
Kassim,name,,,
Khadijah,name-female,,,
Khalid,name,,,
Maarof,,arabic,,
Malabar,name,,,
Moulana Mohd Ali,name,,,
Muhajirin,,arabic,,
Mujahidin,,arabic,,
Mydin,,,,Jalan Lapang
Omar Kampong Melaka,name,,kampong,
Omar Salmah,name,,,Jalan Mashor
Petempatan Melayu Sembawang,,malay,,Jalan Mempurong
Pulau Bukom,,malay,,Pulau Bukom
Pusara Aman,,malay,,
Sallim Mattar,name,,,
Sultan,name,,,
Tasek Utara,,malay,,
Temenggong Daeng Ibrahim,name,,,
Tentera Di Raja,,malay,,
Wak Tanjong,name,,,
Yusof Ishak,name,,,
